,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Employment services,"80,561","105,363","118,250","135,229","123,160","115,485","122,106","136,585","152,191","167,152","179,117","187,108","169,175","195,743","222,895","247,715","262,161","301,156","330,772","366,340","395,051","421,564","449,355","435,464","551,747"
Services to buildings and dwellings,"68,887","75,429","81,973","89,393","95,779","100,202","106,294","113,302","121,851","129,631","140,761","141,763","131,807","133,680","137,591","141,523","149,130","163,121","171,767","184,460","195,242","221,991","241,157","248,510","286,952"
Office administrative services,"31,338","32,900","35,883","38,323","38,588","36,568","38,061","40,409","44,135","44,864","45,656","45,280","44,624","45,090","46,904","48,318","50,723","55,026","56,592","58,741","60,340","62,841","65,046","64,427","72,779"
Facilities support services,"8,436","9,632","10,999","13,171","13,457","14,049","14,646","16,434","19,611","23,228","27,326","29,244","28,167","27,367","28,337","26,427","25,864","26,710","28,243","28,439","30,106","33,707","35,241","35,476","37,907"
Business support services,"40,005","42,467","45,436","48,881","51,167","50,716","54,388","58,171","62,420","67,466","70,521","70,643","66,931","66,527","67,080","67,765","68,079","70,043","71,905","77,110","79,082","83,154","86,139","85,601","91,652"
Travel arrangement and reservation services,"25,475","27,486","29,363","30,648","29,469","27,814","29,437","31,881","33,480","35,907","39,997","39,730","34,420","36,359","37,321","37,725","39,634","42,156","44,806","49,361","55,878","61,927","66,406","34,948","67,145"
Investigation and security services,"22,334","24,512","27,461","29,580","31,196","34,748","35,753","37,315","40,893","41,603","44,792","47,584","47,024","47,055","48,613","50,649","52,450","54,544","56,610","61,546","70,583","72,680","79,652","76,884","77,632"
Other support services,"31,875","34,777","36,006","37,957","36,090","34,792","34,019","35,783","38,916","39,527","40,737","41,359","36,879","37,852","39,359","41,529","42,273","45,163","47,162","48,537","51,063","56,275","59,987","52,796","60,938"
Waste management and remediation services,"41,969","46,468","50,708","52,713","53,386","53,468","57,302","62,036","66,762","73,455","76,525","79,531","74,836","82,437","83,194","83,578","85,080","89,837","89,811","95,658","102,615","108,803","114,172","114,280","127,349"
Elementary and secondary schools,"22,495","23,234","23,956","25,297","27,011","27,922","28,478","29,270","30,312","31,682","33,787","35,353","35,168","35,301","35,655","36,044","38,566","41,160","43,618","46,197","47,826","49,808","51,690","51,152","54,913"
"Junior colleges, colleges, universities, and professional schools","67,344","72,750","77,374","84,284","93,217","101,944","109,783","115,551","120,748","133,143","148,682","164,521","180,240","195,814","207,602","209,875","215,910","220,253","225,344","231,699","237,711","241,314","246,370","228,374","239,944"
Other educational services,"23,281","25,760","28,468","32,083","35,243","36,332","38,293","40,493","44,051","48,660","54,145","57,433","58,116","61,786","63,196","63,667","65,302","68,839","72,133","75,239","78,681","83,913","86,917","84,040","96,798"
Offices of physicians,"183,969","195,358","206,004","223,195","243,524","263,940","284,956","306,007","322,232","335,949","351,782","369,057","378,549","390,828","406,001","419,048","421,505","439,989","465,471","490,884","510,812","528,454","550,738","525,250","573,084"
Offices of dentists,"51,374","55,177","59,073","64,262","70,044","76,384","78,618","84,055","88,571","92,034","97,420","102,249","102,438","104,814","106,142","107,497","108,997","111,929","116,720","122,979","128,058","134,375","140,748","117,572","134,536"
Offices of other health practitioners,"43,018","43,891","43,748","43,999","47,779","48,274","52,364","56,232","58,852","60,955","65,308","70,853","74,457","81,125","85,447","86,756","88,703","93,321","99,000","104,241","109,346","117,728","125,132","119,176","133,075"
Outpatient care centers,"39,816","41,517","44,566","46,706","51,293","57,117","60,229","62,217","67,174","70,068","71,868","76,510","82,769","87,240","89,644","100,335","100,636","105,612","110,970","123,483","133,765","140,690","150,061","145,187","157,542"
Medical and diagnostic laboratories,"20,476","22,922","23,745","26,019","28,937","29,599","31,884","33,796","35,769","37,077","37,775","41,857","45,654","47,729","50,829","52,291","52,332","52,592","53,964","55,872","58,734","59,310","60,812","66,137","76,200"
Home health care services,"37,072","36,267","33,638","32,352","33,718","34,842","37,640","41,358","44,306","45,999","50,934","53,797","57,027","59,224","62,795","70,108","69,795","71,480","75,155","78,526","83,805","89,154","97,330","100,118","104,183"
Other ambulatory health care services,"12,468","12,887","15,069","16,036","17,184","19,405","21,099","23,688","26,021","29,671","32,790","31,191","32,542","32,265","32,894","32,767","32,784","34,086","35,396","37,340","38,842","40,249","42,640","43,336","46,298"
Hospitals,"271,305","289,792","303,298","320,348","345,675","382,358","408,908","435,502","469,779","502,203","530,009","569,343","611,047","636,893","667,845","709,343","732,911","758,634","813,055","851,325","879,248","919,235","961,915","957,759","1,037,226"
Nursing and community care facilities,"78,006","83,846","85,774","90,930","97,237","102,373","109,123","114,755","122,794","129,613","137,590","144,879","149,080","156,248","161,841","167,759","171,580","177,271","184,319","191,541","194,043","200,261","208,657","203,750","203,129"
"Residential mental health, substance abuse, and other residential care facilities","17,200","18,200","20,115","21,581","23,934","26,040","28,246","29,758","32,061","33,603","35,042","36,532","37,509","39,472","40,026","41,170","42,312","43,817","46,401","48,478","51,143","53,692","55,733","58,132","61,195"
Individual and family services,"26,555","28,631","31,387","35,557","40,270","42,942","45,711","48,118","51,012","55,799","60,668","66,603","71,633","76,719","80,107","84,309","84,941","89,514","93,433","100,238","108,529","114,347","120,631","125,719","137,352"
Child day care services,"23,600","24,480","26,551","28,633","31,096","32,839","33,814","34,133","34,881","36,663","39,755","41,342","42,419","44,034","42,986","43,024","45,601","46,670","48,681","51,259","54,076","59,249","63,559","55,674","68,230"
"Community food, housing, and other relief services, including rehabilitation services","11,421","13,201","15,826","18,924","22,262","24,726","26,865","27,869","30,981","31,931","33,571","37,369","39,364","41,833","41,281","42,107","42,168","43,728","45,458","46,999","47,147","48,738","50,270","53,464","54,673"
Performing arts companies,"11,069","11,990","13,127","14,600","15,775","14,965","15,600","17,825","18,431","18,730","19,491","20,445","20,696","20,833","21,714","20,957","20,647","21,459","22,884","24,176","25,432","26,384","27,459","19,323","22,094"
Spectator sports,"16,883","18,539","19,827","22,024","23,288","25,737","26,390","26,900","28,873","30,782","34,679","35,692","35,478","36,311","37,142","38,174","39,883","42,297","45,096","47,168","51,298","53,310","53,218","30,664","50,079"
"Independent artists, writers, and performers","15,504","16,231","16,911","17,834","20,238","22,705","25,897","26,573","26,904","30,235","31,836","32,640","32,683","33,285","33,996","36,256","36,966","39,398","41,997","43,297","46,639","51,364","54,651","38,247","44,604"
Promoters of performing arts and sports and agents for public figures,"10,957","12,791","13,741","14,878","16,036","19,595","21,095","21,209","22,802","26,704","29,254","30,728","31,795","31,732","31,593","35,192","37,120","40,389","44,265","46,512","49,729","53,979","56,431","33,597","57,146"
"Museums, historical sites, zoos, and parks","4,901","5,028","5,609","6,526","7,664","7,974","8,456","8,609","9,392","9,979","11,380","12,266","12,602","11,885","12,155","14,167","14,903","15,490","14,730","14,816","15,897","16,412","17,501","14,558","17,323"
Amusement parks and arcades,"7,170","7,759","8,499","9,679","10,691","11,125","12,250","13,689","15,151","16,331","18,352","17,913","16,329","16,167","16,132","16,047","16,193","16,797","18,301","19,937","23,566","26,274","27,779","11,332","17,686"
Gambling industries (except casino hotels),"18,293","16,291","17,375","16,691","16,384","12,983","16,920","20,871","21,608","27,354","29,881","29,929","28,920","29,210","30,324","31,140","32,854","34,054","35,926","37,150","38,329","39,998","43,096","33,108","47,308"
Other amusement and recreation industries,"42,603","44,900","47,470","49,223","49,909","52,185","53,847","56,205","58,851","62,579","66,634","67,921","65,595","66,483","69,093","72,592","75,505","78,543","81,758","85,327","88,881","93,596","97,886","63,372","78,762"
Accommodation,"116,482","123,761","133,821","150,320","144,684","147,634","151,249","163,140","177,409","187,473","192,793","197,994","181,937","185,668","198,741","214,942","225,962","244,184","258,628","269,683","283,389","298,749","307,238","170,537","260,709"
Full-service restaurants,"137,623","145,414","153,938","166,281","177,078","189,058","197,545","208,331","218,186","231,620","241,509","243,477","239,264","245,668","261,941","278,525","289,300","310,650","336,211","350,028","366,891","386,710","404,714","309,987","460,891"
Limited-service restaurants,"116,589","122,283","125,927","134,167","135,344","139,888","154,629","172,113","189,126","205,804","220,101","226,483","225,668","233,792","242,066","253,777","264,408","277,152","303,694","322,774","341,812","363,567","384,683","373,243","439,234"
All other food and drinking places,"52,754","57,604","62,253","67,959","72,533","76,592","74,100","71,716","68,262","64,897","59,992","62,931","64,207","68,194","75,145","81,672","85,672","92,227","98,573","102,613","107,550","113,276","118,353","90,903","135,365"
Automotive repair and maintenance,"84,551","92,792","97,608","98,514","101,337","99,232","102,913","105,657","108,447","111,249","111,094","106,972","102,712","105,724","109,157","111,488","111,710","115,569","120,747","125,773","138,273","144,975","159,615","152,184","162,515"
Electronic and precision equipment repair and maintenance,"18,015","18,818","20,258","20,401","20,698","20,704","20,218","21,159","19,460","19,604","19,282","19,274","19,251","19,614","20,389","20,875","20,976","21,473","22,166","21,993","21,219","21,396","22,255","21,322","22,469"
Commercial and industrial machinery and equipment repair and maintenance,"17,395","18,280","18,400","19,736","20,900","22,726","24,586","26,024","25,527","27,961","30,595","32,074","27,388","28,038","32,128","34,342","35,105","37,213","37,604","38,224","40,241","42,316","43,747","40,985","48,777"
Personal and household goods repair and maintenance,"14,340","15,088","16,096","16,922","17,288","18,017","18,095","18,589","19,090","20,007","20,489","20,105","18,717","18,652","18,848","19,409","20,259","21,096","22,329","23,114","24,472","22,113","23,433","22,504","26,756"
Personal care services,"28,952","31,573","33,443","36,365","38,429","41,259","44,402","48,151","53,849","56,988","59,849","64,020","58,378","64,668","65,912","68,402","71,796","76,219","80,111","84,572","89,368","101,571","105,687","62,454","59,727"
Death care services,"12,398","13,371","13,689","13,906","14,784","15,278","16,702","16,522","17,387","17,893","18,399","18,463","18,501","18,341","18,302","19,739","18,669","19,071","20,088","20,530","20,708","20,391","20,504","22,387","24,968"
Dry-cleaning and laundry services,"19,997","21,356","22,533","22,987","23,890","23,694","22,999","23,424","24,651","26,039","26,152","25,595","24,824","25,038","25,459","26,034","27,004","28,250","28,962","28,907","29,462","30,458","32,009","29,120","31,360"
Other personal services,"32,820","35,167","38,698","41,249","40,265","42,213","43,583","46,236","47,789","48,073","48,746","49,238","47,023","48,664","51,364","53,499","55,619","59,813","62,899","65,090","70,113","61,167","63,467","57,642","78,902"
Religious organizations,"44,588","48,167","50,233","54,067","58,599","62,211","63,312","67,335","70,015","72,640","77,714","78,402","78,852","78,595","78,347","82,664","86,247","90,627","93,020","96,705","97,640","97,834","100,096","99,082","104,415"
"Grantmaking, giving, and social advocacy organizations","13,185","14,919","17,844","20,823","25,159","27,608","28,934","30,018","31,917","36,534","40,473","44,052","42,185","41,324","44,473","44,524","47,867","52,019","57,520","60,325","63,179","67,479","71,581","72,943","76,569"
"Civic, social, professional, and similar organizations","53,595","59,879","60,654","66,995","68,081","72,536","68,857","69,372","63,930","70,031","63,497","73,236","66,352","70,976","68,175","77,959","71,005","78,626","75,682","85,906","82,381","95,222","90,432","107,798","97,526"
Private households,"12,195","14,133","12,884","13,766","13,068","12,773","14,179","15,112","15,292","16,393","18,043","19,107","17,410","15,321","16,328","17,330","18,232","20,845","21,314","20,047","18,684","21,957","22,973","22,472","22,061"
Federal general government (defense),"304,866","300,962","313,270","321,572","339,792","374,582","428,318","466,347","497,159","522,569","549,978","606,076","637,329","675,588","688,109","676,302","637,602","625,335","613,305","614,739","626,891","663,650","707,491","731,008","744,145"
Federal general government (nondefense),"160,267","163,523","168,137","182,355","196,175","217,788","236,785","252,026","267,805","283,017","291,130","316,550","344,427","373,781","366,865","370,377","366,848","375,908","391,291","402,490","407,860","428,185","444,868","502,087","572,449"
Postal service,"58,389","60,104","62,137","63,513","63,957","66,595","66,549","67,763","68,126","72,734","74,849","73,143","67,722","66,256","63,950","61,902","61,016","62,985","62,768","61,896","59,141","59,325","57,989","56,686","57,871"
Federal electric utilities,"8,356","8,791","8,771","9,566","10,592","9,843","9,992","10,358","10,941","12,178","12,302","13,597","13,039","13,931","14,111","13,686","13,691","14,339","13,843","13,900","13,962","14,630","14,428","13,999","15,115"
Other federal government enterprises,"9,664","8,750","10,163","10,512","9,088","10,800","10,407","9,521","9,017","10,471","12,232","14,083","16,386","16,404","15,711","21,557","18,492","17,200","17,451","17,999","18,318","18,076","18,263","18,078","19,370"
State and local government educational services,"448,464","476,495","509,370","550,029","589,353","613,047","639,259","674,067","709,486","750,238","797,216","836,029","854,002","869,936","875,866","897,145","921,717","946,148","974,780","1,004,646","1,030,598","1,081,388","1,128,294","1,138,134","1,213,742"
State and local government hospitals and health services,"115,854","120,031","128,753","137,458","149,038","159,096","164,852","174,212","183,004","192,486","209,354","225,346","233,338","240,032","245,310","237,637","262,082","273,060","286,153","299,268","313,381","329,453","339,493","332,259","354,598"
State and local government other services,"429,191","456,325","492,521","528,795","569,746","603,352","615,929","642,212","681,268","721,032","762,157","795,754","803,935","806,889","807,507","812,278","836,063","857,938","879,852","900,942","930,279","975,950","1,019,540","1,042,182","1,111,612"
State and local government passenger transit,"7,513","7,701","7,935","8,447","8,878","8,968","9,374","9,942","10,473","11,169","11,789","12,650","13,221","13,486","14,393","14,732","15,330","15,935","16,399","16,635","16,753","16,949","17,229","8,989","9,494"
State and local government electric utilities,"22,167","22,571","22,835","22,621","22,378","21,791","22,562","23,686","25,769","28,383","30,241","37,030","43,300","49,313","54,825","59,665","61,013","62,800","62,898","62,568","62,383","67,048","65,778","67,271","70,819"
Other state and local government enterprises,"100,419","104,512","110,406","115,818","120,933","129,743","138,520","148,771","159,545","172,406","181,331","190,782","199,930","210,402","217,297","223,938","233,164","240,748","248,131","254,669","265,267","281,170","292,260","258,175","298,368"
